SquareFootage,NumBathrooms,NumBedrooms,RenovationQuality,DistanceToCityCenter,AgeOfHome,Price
1251.41,3.082831495,2,6.02,21.07,91.42,314726.1984
698.85,2.918705979,4,6.93,23.78,54.88,296401.8311
760.96,3.28586102,3,4.81,0.7,29.15,392856.0367
808.7,2.269241016,3,5.33,55.19,54.35,204501.6496
1111.09,1.562535946,4,4.25,3.94,11.45,220535.3979
1569.85,3.171468099,2,4.83,12.65,39.4,361328.3334
1287.98,2.412537863,3,3.63,3.9,5.64,344017.9281
800.24,4.248506036,4,5.41,7.99,47.79,477320.8515
1506.8,1.0,4,2.78,41.96,88.74,383100.28
1631.08,2.262322201,2,7.37,7.86,18.32,341005.1752
931.61,1.915791126,3,4.85,41.47,18.16,250327.6615
598.27,1.0,2,3.01,36.49,136.4,204452.9966
1069.97,3.006836638,5,7.59,8.6,15.74,698889.7303
879.97,1.0,1,0.22,49.81,45.91,215651.3935
774.57,1.869516446,2,4.95,20.08,56.93,280826.7251
1055.58,2.438118551,3,7.69,32.61,53.76,397536.3935
1245.26,1.842217854,1,4.96,1.5,69.73,182751.0539
2027.42,3.263161801,3,6.99,20.56,11.6,620643.526
550.0,1.0,4,4.72,5.06,7.01,180759.8499
1628.62,4.946853616,4,10.0,5.19,60.38,719331.4896
2137.72,1.698082102,3,5.42,10.32,0.39,497692.5176
550.0,2.092646457,3,5.68,14.91,42.73,453631.532
550.0,3.653844997,3,5.74,9.03,9.09,404654.1572
1452.3,2.033415868,3,5.46,16.42,77.95,402016.5032
550.0,1.528832085,3,2.54,2.29,51.74,122436.7116
1110.0,1.629167785,3,6.85,5.96,35.18,382323.3238
1565.15,1.305385101,4,7.24,14.96,43.21,421138.8424
1553.57,3.988376742,4,8.8,24.4,26.07,438060.8193
745.2,1.356797549,3,4.86,0.98,28.63,228007.9217
550.0,2.593593405,3,9.34,10.93,25.0,198941.9264
1156.68,2.565439217,2,4.91,27.21,39.59,319925.1832
730.3,3.465489528,4,5.92,5.83,8.95,254900.1712
1457.94,2.333148493,2,6.12,20.53,49.68,540260.287
550.0,5.166797811,1,6.88,5.05,19.29,417207.8893
550.0,1.939261818,3,3.62,36.52,92.68,168431.4026
550.0,1.0,4,3.04,23.98,25.23,152349.6387
882.35,2.508779318,2,3.46,16.03,90.68,126372.039
550.0,1.051710353,5,1.25,17.88,49.18,346494.6724
1256.23,1.597889491,5,7.65,6.6,33.06,288933.766
550.0,1.104789414,3,0.61,49.25,111.49,179713.0449
841.64,2.408433017,2,4.44,0.3,51.07,425329.428
1670.89,3.533836205,2,6.37,22.69,32.07,509505.0897
1135.51,2.527049674,4,5.92,3.36,28.21,522258.1523
1449.58,2.300015269,4,5.45,6.39,61.98,442719.8916
1295.72,1.749304471,2,5.23,5.93,38.45,220471.3335
1292.24,4.518126523,4,8.13,2.56,15.27,479896.9346
846.32,1.0,3,4.16,0.44,16.75,315149.8746
1035.83,2.0681476,1,1.29,20.19,34.67,120926.3367
1376.46,1.786360356,1,3.76,32.62,39.55,261380.4163
1701.51,3.154317318,2,4.21,3.36,105.46,354656.3014
850.91,1.683958032,4,5.18,4.32,0.2,312782.8059
1171.54,1.0,4,6.53,10.98,53.26,393259.0021
663.49,2.213933244,2,4.37,27.23,66.77,150480.8039
1346.98,1.353651097,2,3.43,1.96,54.84,444712.8941
828.83,2.270852329,2,4.78,31.84,1.69,168100.8249
1507.02,1.685720903,5,5.54,31.14,72.03,506110.3169
953.78,1.623211954,2,3.49,28.72,8.04,227843.7879
1118.55,1.843407167,4,5.86,24.46,69.87,334343.3332
1556.62,1.807103625,3,5.11,2.25,116.44,364840.3267
870.25,1.958609398,2,5.57,47.15,3.87,150695.0969
1435.76,1.379788468,3,1.5,55.38,30.95,225360.6897
1617.38,3.998378534,2,8.22,20.1,50.27,380038.2127
658.32,1.192712947,3,6.1,22.35,55.64,243042.0806
1599.49,2.782334892,1,6.86,22.26,8.76,485170.8378
550.0,3.139102112,5,6.64,0.17,39.81,458131.6722
550.0,1.0,1,2.2,21.42,71.11,192170.6232
2228.78,2.406598859,2,6.5,2.83,9.74,471933.5698
1228.38,2.657160333,3,3.79,1.51,44.5,235267.7873
1276.24,3.271452228,3,6.12,14.37,42.96,277316.3525
1779.61,1.0,3,5.72,46.13,107.07,335231.6833
628.32,1.564672464,4,3.09,31.04,103.47,184100.4687
1484.71,3.117119966,3,3.84,25.33,15.61,360765.3965
550.0,1.0,2,2.4,34.36,104.02,211645.67
550.0,1.425486945,1,2.05,33.89,24.05,154133.2594
550.0,3.276078857,2,8.69,5.62,52.45,213896.1784
550.0,2.322028601,4,5.05,12.35,46.08,445634.9722
1151.06,1.267256694,3,5.49,2.66,56.91,202885.8129
1496.96,1.360365067,3,7.57,0.75,57.47,525873.6076
1480.25,1.0,3,2.73,7.37,58.01,264687.482
916.98,3.159317182,3,7.51,18.31,10.82,366993.5218
550.36,3.930831836,1,7.93,20.08,0.73,164736.9291
905.51,2.333317047,3,4.0,32.18,32.65,295280.7222
1720.27,2.1008598,3,3.08,29.53,85.34,418979.6667
550.0,1.58152967,4,1.65,30.85,14.45,151942.4139
1508.69,4.461158759,2,7.58,23.86,46.99,348803.1786
550.0,1.626162621,5,2.76,11.6,3.49,314438.3722
611.72,2.470582903,4,6.28,17.74,25.5,240969.3991
1219.82,3.566419789,4,6.97,32.93,77.86,284596.5952
807.07,2.560779072,2,1.89,30.26,59.04,299416.7236
1529.95,3.632248067,3,9.47,16.32,21.28,660281.9581
853.43,1.21084439,5,3.73,5.8,16.84,351567.7913
583.03,1.0,1,1.08,27.51,17.21,373177.5445
1385.96,3.410303477,3,5.62,25.32,16.12,325171.012
550.0,4.790215918,3,1.86,26.01,69.22,277466.3269
550.0,1.701678949,3,4.51,20.35,34.32,117918.5277
1226.9,2.41369557,4,7.27,5.67,64.92,278318.661
1843.76,2.222274061,3,7.96,6.34,42.5,709042.0325
550.0,2.398800329,3,1.83,41.6,24.53,148633.5207
704.82,1.0,3,3.6,31.73,4.59,261312.3182
1070.82,1.554854041,3,3.26,45.25,63.35,108684.8082
550.0,1.0,3,5.45,3.15,83.06,171925.6082
550.0,1.676497784,3,7.66,9.4,3.79,334113.5332
550.0,1.897350371,4,3.47,4.78,60.7,169035.3533
550.0,1.670820147,2,1.59,34.3,42.09,155752.5599
1999.12,1.667224541,2,4.39,28.31,11.6,410850.8706
1592.1,1.884257528,2,4.14,12.04,14.77,249815.1871
922.14,2.201287453,2,5.89,18.08,50.06,268783.2257
1321.69,3.067127303,4,6.73,6.75,25.95,374962.6393
619.77,5.158625711,4,6.9,12.46,48.04,767631.1509
659.36,2.636757297,4,5.19,15.5,73.51,537768.8483
718.96,3.835479015,3,5.52,31.59,42.3,267385.6889
808.87,2.190712915,2,6.23,31.87,35.23,194271.1537
1310.14,2.791890298,3,6.42,8.42,22.62,336360.7681
1233.39,2.485825649,3,4.16,39.45,32.33,293993.3106
1001.09,2.895212104,2,4.72,22.74,65.95,189416.9866
968.4,1.83299545,2,1.59,20.49,76.54,180812.6816
1797.71,3.856885415,2,5.93,25.35,16.94,646806.3598
1524.01,2.403571916,3,3.76,21.12,140.11,295184.9616
937.32,1.0,3,3.44,16.59,70.27,182897.1964
1413.38,1.758432466,3,1.45,20.49,39.59,198687.8753
1411.68,3.440220345,4,6.39,28.64,39.58,384736.5234
1334.67,4.585116892,3,7.51,15.24,18.14,637118.2194
889.12,3.597985005,3,7.31,19.68,12.41,445000.4992
595.71,3.592022237,1,2.48,26.09,85.39,118272.4447
1261.43,3.474079651,1,5.48,9.32,33.88,248247.8271
648.6,4.335120009,4,10.0,9.28,13.41,458236.3894
1303.24,2.298481745,3,4.79,17.25,30.85,451392.1117
1096.86,1.0,4,3.76,21.54,92.15,314862.9031
1327.52,1.115901567,3,5.24,53.76,82.55,337885.0451
1021.58,3.790983724,3,5.41,25.35,41.01,348533.4625
1583.22,3.408219128,5,5.35,0.89,19.29,621710.0892
592.47,2.842441193,2,6.67,2.16,55.66,150242.8915
1228.67,1.748903643,3,3.0,18.17,137.5,379378.2464
1581.07,2.466800168,3,4.68,12.37,12.89,406831.7743
744.45,1.0,2,2.85,16.84,39.75,199781.8604
812.22,1.701440338,4,4.78,23.26,62.67,314192.9593
1601.24,1.0,3,4.86,13.81,36.58,279721.3529
1246.98,3.85892386,3,6.63,13.98,39.32,467226.488
918.94,2.708287388,3,5.64,28.87,33.14,317898.9263
1946.87,3.965719314,3,6.15,3.72,36.06,682957.6831
1373.24,1.063691804,1,2.22,18.44,91.75,159865.7763
1001.99,2.596862494,2,5.54,14.1,1.51,299649.7369
1910.04,1.797835987,3,5.51,8.91,70.08,451307.7722
989.83,4.008426976,3,7.47,13.69,17.4,458340.5494
774.56,2.70561168,3,7.71,16.49,0.32,295611.038
1075.51,2.721459812,3,4.78,0.79,44.48,324655.1221
2248.84,4.228159415,5,8.18,13.65,9.61,562257.4662
1350.5,4.290597408,5,8.59,25.07,32.56,628152.6935
1154.31,1.505626795,3,3.73,21.34,15.68,469642.9725
1768.98,1.186842402,2,3.95,20.5,50.39,264995.9968
786.95,1.027396392,3,5.75,27.2,74.98,104947.8917
550.0,3.568884996,2,5.82,16.07,57.02,129900.059
1134.91,5.5,3,5.12,10.22,8.26,341988.3309
1408.21,1.382512193,2,3.39,14.24,19.26,170246.3256
1596.19,1.0,4,5.36,10.8,22.51,350619.7241
1510.55,2.661488467,2,8.83,6.26,10.94,486979.2979
550.0,1.0,1,3.49,34.98,51.71,172176.5119
550.0,2.411805451,4,6.21,33.97,67.58,232410.9649
2004.49,2.454914349,3,10.0,11.62,32.23,374159.8778
550.0,1.77171418,4,3.18,35.06,49.04,181325.5549
744.84,3.085364554,3,4.45,36.97,16.41,605439.5907
1253.92,1.0,2,4.75,4.34,1.66,124117.4428
1382.24,2.49962315,2,7.89,23.02,3.68,361156.3934
752.77,1.0,1,2.68,48.29,66.07,167303.231
550.0,1.894376541,3,4.68,2.93,4.96,216824.1826
842.69,3.480505019,4,7.87,8.95,28.77,318042.4425
550.0,2.771258121,2,6.15,2.02,65.28,168395.9918
1113.69,1.641683486,3,5.29,24.88,33.55,303962.8866
1231.75,2.720742905,1,6.56,19.48,105.9,246079.8052
550.0,1.0,2,2.51,20.19,51.55,167169.7473
1340.03,1.0,4,0.71,4.08,10.64,224962.3678
1460.2,1.195630783,2,3.18,26.73,56.09,210296.1478
747.49,1.418893522,3,5.32,13.38,21.61,205562.6791
957.99,3.367604595,4,7.58,4.5,42.01,256574.4397
550.0,1.697656719,2,1.31,42.09,62.72,137475.7105
1314.1,2.685641435,4,4.16,12.12,16.76,426242.3791
550.0,1.0,2,0.65,4.55,29.55,212778.75
1333.3,2.776923012,3,7.81,8.38,23.59,624004.5467
550.0,1.463550028,3,6.01,5.33,26.84,288967.6594
550.0,1.856617399,3,4.81,21.25,83.37,114429.4825
1319.79,2.542387545,4,6.81,7.32,62.69,255615.0412
1301.89,2.752838541,4,6.14,8.98,65.18,631038.2748
1062.47,1.780468613,1,2.34,3.44,67.35,155965.7046
1475.63,2.407678272,4,7.71,16.01,36.99,298957.4967
936.24,2.962510163,3,6.49,9.77,6.09,309856.2555
965.69,2.995738568,4,4.97,13.75,83.45,394713.9116
550.0,1.0,2,5.71,12.31,33.51,100929.1341
1413.16,2.40538945,3,5.73,2.65,31.43,350743.6955
915.16,3.496440954,2,3.88,47.98,55.82,320403.0603
1187.73,2.251833592,3,4.15,11.56,44.67,289207.8725
1542.53,1.0,4,4.04,27.23,7.38,270917.5383
957.1,2.203076038,6,4.92,27.19,76.78,542916.9681
1373.52,1.478582137,2,4.67,16.62,37.42,178507.514
1377.9,3.615851772,5,6.9,2.26,12.29,733103.4288
1219.17,2.918136667,4,5.65,15.09,74.06,335873.3856
1549.26,1.0,4,5.58,9.52,10.61,412601.1709
1391.84,3.450977844,3,4.81,37.51,3.62,285629.8997
930.27,2.927970929,6,6.83,19.37,37.75,532866.3387
550.0,1.0,3,0.62,14.52,59.46,122318.6077
1060.93,2.423218143,3,5.87,4.06,0.85,201689.7868
834.57,1.0,3,3.51,3.67,70.86,198803.6428
1786.01,3.381903578,4,7.69,22.74,25.17,459906.7584
1199.58,1.358450654,1,1.44,7.97,126.89,104284.4088
1339.82,3.151348521,4,4.5,17.28,23.11,343027.6788
1220.33,1.158492281,3,0.93,28.17,29.08,165044.0344
1327.13,2.146450401,6,6.97,10.09,32.06,323248.1091
1124.78,1.601573288,3,6.5,3.23,6.84,321898.8296
1297.12,1.0,4,4.76,1.1,55.41,379439.6595
1839.78,2.188693987,2,3.88,40.66,46.37,277613.6908
1125.06,2.723276355,1,3.53,3.19,6.46,173809.6441
1160.99,3.022658939,4,5.55,2.08,6.27,624102.7058
1706.41,2.132458556,4,6.99,20.86,33.9,309195.0259
666.18,1.0,2,5.4,20.78,91.43,120438.0192
842.88,3.152530991,3,2.66,18.28,127.47,204136.2372
1454.19,1.712802724,4,3.43,7.77,101.47,260661.6555
1491.62,1.0,3,5.38,2.28,2.86,240660.9713
762.24,2.247315649,3,6.18,2.7,29.49,209259.0513
604.56,3.281933695,1,3.79,17.23,34.3,204763.8543
1035.55,1.944969623,6,4.12,15.3,57.28,436153.2994
1435.02,1.117874516,2,5.22,0.23,43.35,252873.0692
839.71,2.953884996,3,3.36,19.54,67.7,267710.7195
550.0,1.77185182,3,2.14,10.84,86.36,121606.9623
1059.29,2.977402362,2,4.35,6.14,12.61,495124.7829
721.17,1.439066744,4,3.73,11.94,11.6,160019.0332
930.28,1.0,2,0.4,45.94,90.78,121786.8176
733.04,2.618083384,4,5.96,14.29,4.15,389062.31
927.64,2.113896922,3,1.86,3.39,7.24,284069.3386
1074.52,1.434396635,3,2.04,43.07,1.46,185506.6524
1520.66,1.0,2,3.9,18.0,79.46,152273.9906
961.63,1.0,3,4.01,12.8,43.69,219685.3454
1465.35,2.784964122,3,4.23,19.22,49.88,469333.7639
696.19,1.0,4,1.53,10.94,72.5,301719.5129
690.15,1.811329898,3,0.94,29.26,54.57,98169.57031
1713.51,2.044340565,3,7.36,33.62,39.23,471552.2626
563.77,2.037774588,5,4.04,29.93,20.25,317826.7291
1178.14,2.631380814,3,4.58,22.72,29.01,297187.7938
1399.45,1.357921117,3,3.92,7.19,50.91,367857.0917
1450.56,2.420924898,3,5.23,11.36,87.01,336337.6459
576.05,1.0,2,4.03,6.39,0.2,137084.6115
550.0,2.278506113,1,2.76,32.42,81.66,180340.2414
550.0,2.386793564,2,4.23,8.55,59.9,270841.8469
550.0,1.403092428,4,1.94,5.32,105.69,191567.1324
1148.7,2.345857002,4,3.98,28.76,100.13,214983.3516
550.0,1.086680751,2,2.47,17.86,77.89,197046.1664
1185.85,3.06422595,2,7.24,10.85,0.21,190732.4501
891.53,2.432076243,3,4.87,12.99,44.1,252608.5174
550.0,1.0,3,4.28,3.46,5.84,190796.713
1245.36,1.0,4,3.69,19.67,33.55,348788.7039
1383.05,2.302008888,2,7.16,4.94,11.15,367447.8639
1115.24,5.154720781,2,9.01,16.19,29.12,525813.4096
1082.65,3.360885507,3,5.7,1.78,21.04,350380.8319
1415.04,2.491056501,4,7.74,19.87,92.49,254274.2608
1155.29,3.919738397,3,6.05,4.19,31.93,346545.9581
618.45,2.34831437,4,4.55,30.71,74.34,243330.2826
1648.57,1.0,1,7.32,15.39,19.15,165482.0594
767.75,1.56058539,4,2.68,35.85,64.96,181429.723
1114.3,2.049654213,4,3.24,5.29,16.89,285175.2294
1765.85,2.611091676,3,4.43,15.78,16.26,317313.6928
1246.47,2.16534028,2,4.34,3.02,6.63,170926.4381
737.2,2.552416006,4,5.31,6.63,82.01,337425.7693
1789.95,2.212914042,2,5.89,15.04,1.93,484361.1995
862.04,1.502217798,4,6.3,14.97,89.78,433995.0296
1478.81,1.0,4,6.41,25.23,24.46,270472.6964
1228.73,2.417602673,5,4.78,23.57,35.96,284453.0662
1366.15,1.704649758,4,6.27,22.81,16.6,557907.882
550.0,1.656988,3,4.27,1.15,142.29,182803.6484
2067.52,4.839064125,4,7.25,3.04,10.96,886794.5153
1795.33,1.0,2,4.96,33.87,79.78,215155.1638
960.39,2.285729073,1,4.89,19.38,45.56,92938.70913
1401.47,1.520796391,3,3.25,12.3,80.21,277499.6342
1066.78,2.310846015,5,6.3,19.44,11.08,439069.212
1992.7,3.575764462,4,8.85,15.69,30.25,633745.5071
843.49,1.0,3,3.97,10.44,20.03,174720.5016
1438.94,1.708344045,4,5.88,11.2,56.77,427688.4335
1651.12,1.0,2,8.34,0.96,25.21,303786.0932
550.0,1.0,2,2.32,4.46,2.07,197631.161
1417.6,2.278865491,2,4.39,1.1,29.63,251297.1141
618.1,2.254378747,3,6.15,37.75,114.43,222597.6752
743.14,1.732031272,3,6.14,7.49,63.48,230854.4814
1003.46,1.415507828,4,5.03,7.32,55.32,419463.4383
550.0,4.327881286,4,2.9,24.63,39.25,515703.8595
733.8,4.182527766,3,4.46,15.06,45.93,250129.0723
2105.87,3.671566891,2,9.56,25.17,79.01,706274.9596
716.33,3.55341871,3,3.23,6.4,18.82,262641.6608
550.0,1.548330817,4,1.83,11.65,11.52,152006.1057
854.64,1.573129987,3,3.28,12.73,77.16,165809.6323
854.43,1.769117831,2,8.55,34.48,84.0,134893.7547
1377.51,3.072442631,4,3.41,0.9,62.77,329381.1695
876.13,1.0,5,4.41,0.71,50.3,266834.8036
550.0,1.065003381,2,4.02,32.19,58.33,169795.2958
550.0,1.361697503,5,1.68,17.99,44.17,347975.5257
550.0,2.453349618,4,7.92,25.87,88.31,262908.9842
875.26,1.63919778,2,3.46,4.36,65.41,187448.5882
550.0,2.585912865,3,4.13,24.87,21.47,235334.2782
829.85,1.891653409,3,4.46,25.41,23.23,147605.9
1227.32,2.113495967,3,6.4,9.72,33.16,388212.5949
550.0,3.234262561,3,5.74,14.1,36.52,221981.4242
2163.35,3.986764045,4,7.87,5.76,51.36,463689.7188
688.57,2.301094907,3,2.42,5.44,91.73,245663.369
2161.12,4.423193106,2,8.37,17.59,84.31,764946.4291
1200.6,1.0,2,3.91,17.1,41.57,127201.7428
1405.05,1.501829236,4,10.0,14.13,70.48,352552.9691
1152.94,2.72138412,2,4.5,19.73,54.0,338734.8157
550.0,2.603287583,3,4.4,8.14,1.93,388822.7101
880.52,1.562833803,3,4.0,54.58,81.39,207625.2917
699.29,2.686783066,4,2.7,28.96,2.53,390605.9215
1227.38,3.257165825,3,5.35,19.05,13.71,538335.1467
980.09,3.023932236,3,7.55,40.97,51.49,545576.5566
1230.22,2.213007181,4,6.76,18.29,48.75,249197.4365
1017.24,1.406256962,3,4.1,11.28,105.65,255620.1138
773.75,1.590550172,5,4.57,3.21,0.01,311510.6121
550.0,2.150065783,2,4.5,3.29,48.73,104513.2586
1498.62,1.535401783,3,6.96,14.47,129.7,333793.7857
654.07,1.827370422,3,3.81,17.13,7.47,110505.7101
1589.14,2.418080215,3,7.02,0.11,35.79,295492.6005
1791.41,1.0,5,5.24,11.7,80.21,282835.0753
1012.98,1.0,3,1.69,44.14,56.22,173899.5665
1382.35,1.792992068,2,2.39,0.34,104.07,178338.1723
1399.62,1.885085617,3,2.56,10.89,51.08,265397.8247
550.0,3.542564482,4,7.89,25.82,109.91,413974.069
952.41,1.0,3,6.92,6.42,56.46,233192.9191
550.0,2.284199265,3,2.6,6.81,24.54,120950.5722
550.0,1.263719781,3,7.71,29.69,6.12,227420.7281
1239.61,2.545467564,4,6.15,6.75,4.33,659953.378
550.0,1.146339559,3,0.41,19.79,81.68,155927.1016
1327.08,1.808288819,1,4.01,20.69,77.01,118517.5122
1406.94,1.574780276,3,4.93,31.71,41.97,313416.7277
757.1,1.009629637,1,3.9,21.27,86.65,217034.6345
926.39,2.079685221,2,3.86,22.3,32.13,262885.2504
2041.61,1.572120209,3,8.78,2.53,55.21,307431.951
1569.56,2.732128952,3,4.98,17.42,30.48,424946.0457
1097.15,4.114637488,4,9.9,25.77,13.81,588288.5704
1084.89,1.145683332,4,3.78,26.92,42.04,303540.4506
1073.95,3.209491202,3,6.17,15.17,59.85,247148.1142
1000.26,4.722995989,3,6.81,22.94,22.15,384219.8759
654.74,2.025026466,1,1.94,11.27,92.29,123962.704
2188.24,2.233152941,3,10.0,6.12,31.85,792902.0333
1015.62,1.0,5,6.5,21.1,70.79,469787.4253
1006.86,1.756899634,2,4.43,5.46,58.7,283570.2735
1070.45,3.491750395,3,4.4,5.05,55.78,535154.4711
1101.32,1.60696822,3,4.65,23.01,13.68,394748.4104
1165.33,1.678559823,2,6.11,15.92,98.74,193579.1699
1115.75,2.317665663,2,4.88,8.35,40.24,301378.5948
2275.85,2.98733692,4,4.96,23.25,12.03,731287.7622
748.14,2.544335809,3,8.07,3.86,43.58,306037.9859
1276.83,2.614374701,2,6.51,1.32,94.43,389504.8713
886.37,1.0,4,6.42,1.5,1.34,259050.8582
550.0,1.0,3,2.47,30.63,94.45,126945.9536
1274.43,2.431466986,4,6.57,2.02,65.87,575304.7083
1210.49,1.0,1,2.5,11.11,60.74,167114.0659
1632.19,1.412574864,4,5.87,19.81,34.43,205876.162
1221.1,1.0,4,5.16,33.45,90.49,336939.7982
2093.21,1.0,2,3.74,25.64,2.41,270401.0649
1910.13,2.388892315,2,5.55,1.99,23.66,374408.3745
1191.34,2.633156465,4,3.81,18.54,135.0,532685.0983
1186.8,3.810525254,5,3.64,6.16,91.88,321821.2618
711.62,1.8970336,5,4.27,2.49,17.46,364861.8592
550.0,1.0,3,1.59,20.44,46.9,91512.09051
1025.38,2.402277253,5,8.46,3.32,26.39,419123.8418
759.92,1.0,4,5.45,20.92,72.37,239145.3146
682.2,1.0,3,1.73,15.17,29.74,134910.6406
550.0,2.563404223,4,7.28,24.35,44.52,296943.6869
982.41,3.02268155,3,3.69,4.05,61.02,363913.0036
1121.99,2.251898766,3,4.52,20.27,24.35,305688.4008
550.0,1.900538373,3,3.37,6.35,3.29,235726.9397
1066.98,2.775689323,3,7.17,32.0,84.13,468472.1179
550.0,1.120522966,2,0.67,8.98,1.96,95856.1153
1045.42,1.449274842,2,2.78,23.68,1.18,163050.2762
1061.61,3.358041787,4,7.44,3.44,70.58,668152.1142
550.0,1.218129646,2,2.41,42.84,38.69,144485.8132
1532.97,1.824873254,4,5.28,9.39,28.3,714083.0738
1662.01,1.487104365,3,4.73,9.17,30.73,285337.659
550.0,1.0,3,4.71,31.51,67.51,256587.6562
564.33,1.0,3,3.99,17.23,15.0,199506.893
1682.22,2.318905764,4,5.98,31.47,61.59,415416.769
835.93,1.0,4,3.24,23.36,19.62,162277.0033
550.0,1.0,3,0.86,18.71,45.91,103947.6295
1751.95,1.762293577,3,8.17,0.11,7.4,456311.9426
1491.94,3.106000937,2,5.26,37.18,31.86,326000.9774
679.89,3.253499176,4,6.35,5.48,14.32,575720.6344
742.07,1.0,3,2.85,50.05,61.23,147724.0952
917.46,1.0,3,4.4,1.73,19.77,168709.8999
979.38,1.0,2,2.66,11.65,26.79,168745.4268
1611.13,1.5512826,3,4.23,14.03,40.11,236852.6988
622.83,1.0,3,2.39,23.43,86.7,139838.0712
1125.23,2.879806468,4,4.91,16.28,82.42,510530.1082
816.9,1.0,3,3.99,27.21,65.77,190134.3678
1046.79,1.98348192,3,3.98,5.36,3.39,195135.8534
2020.96,3.277315535,4,6.52,12.01,65.23,600264.5963
550.0,1.178959017,2,1.17,9.2,111.13,340917.3854
1004.33,1.812506929,4,5.91,21.65,73.32,345705.3279
1277.39,1.0,3,4.78,4.53,26.85,208326.869
1872.27,4.54987317,5,7.82,5.18,93.93,694486.5215
1231.59,1.624223963,4,5.37,14.76,79.42,317798.9332
588.65,4.046911078,3,5.03,12.29,53.95,247938.1754
684.35,1.340914845,3,4.15,8.87,67.62,161999.2888
1098.26,1.792331301,3,8.03,38.64,46.84,409934.7182
1117.44,1.267513421,3,2.41,28.75,84.53,150575.7395
812.15,3.658329726,4,7.48,14.0,29.67,495148.1821
1647.78,2.363525748,4,10.0,16.13,23.73,460665.7046
1041.99,2.683124901,4,4.52,16.72,55.61,514905.4143
1775.61,2.988005262,2,5.33,11.26,47.77,519811.7034
550.0,1.887114507,2,5.38,9.71,20.42,100868.9766
1463.95,1.976922883,3,7.07,9.17,84.35,285544.6458
1099.56,1.507324874,3,4.39,16.49,77.51,281180.6138
1496.53,1.0,5,5.63,28.46,12.95,403001.0933
990.97,1.0,3,4.62,22.58,83.92,235053.9275
652.06,1.369922378,2,6.45,26.9,76.46,258971.5503
1258.98,2.013493145,3,5.01,22.47,134.89,568686.5643
692.84,1.855488365,2,2.75,31.67,26.82,133864.1422
580.3,2.77300115,2,5.63,6.16,64.01,176290.8751
550.0,1.445836044,3,3.69,42.24,18.21,191719.6633
812.78,1.901236088,4,5.86,15.68,69.96,410459.3708
767.36,1.0,4,6.18,0.86,14.49,248951.658
1010.25,3.331127148,3,3.83,15.24,23.44,216437.7761
1368.39,1.522661397,4,6.57,27.49,23.91,280920.0402
550.0,2.297351344,1,3.61,16.13,72.96,108036.1452
1531.71,1.463089435,4,5.92,9.98,71.76,579001.6333
965.56,3.063549719,4,5.48,3.76,21.58,380217.0535
1225.68,1.857548259,2,2.79,4.78,126.53,143197.3936
1428.56,1.257661583,3,6.42,17.28,35.0,323908.0938
1625.17,3.177879714,2,3.93,18.3,21.54,297768.4233
1693.37,3.067137114,3,3.57,14.5,52.19,568904.4179
550.0,1.0,1,1.01,38.95,34.2,308210.9175
1251.3,1.960165295,3,4.7,15.21,5.51,251560.2403
947.06,2.379477752,3,6.13,13.04,28.78,274730.4351
1566.17,1.476349858,4,4.14,3.54,9.75,576752.4502
1496.97,2.494885883,4,7.84,20.19,56.53,688892.6236
1483.89,1.953499456,2,4.75,17.02,80.22,177081.8556
1380.55,1.075518813,3,2.03,10.71,40.3,477219.5197
1107.8,1.328256705,2,4.43,26.52,76.35,156967.4791
1257.21,2.836704563,4,9.03,19.11,46.72,435506.5116
1072.97,1.198938557,2,4.53,11.45,7.62,151940.0427
550.0,1.706601611,1,2.45,48.17,20.13,372771.7711
1017.19,1.703067719,2,5.13,3.9,46.61,232294.47
754.89,3.388984748,3,5.2,27.06,49.98,294184.9964
1180.83,1.437698164,3,2.96,3.22,76.84,174200.3734
1076.3,1.702342147,3,3.76,5.26,120.99,196851.6501
1320.89,1.0,2,5.06,24.39,55.24,249773.6916
891.35,2.492217626,2,5.61,23.18,96.4,155735.0323
761.99,2.65782702,1,3.99,41.65,11.7,144709.6254
1930.03,1.582417956,4,4.96,7.48,29.03,587055.1488
1001.8,2.172002994,4,5.69,4.44,58.05,617207.559
1228.57,2.688729148,3,6.88,15.2,94.68,499059.3625
550.0,1.0,3,1.65,24.84,41.49,106858.1898
1122.76,1.0,1,0.13,47.07,39.52,274713.7644
550.0,1.452379447,3,3.49,40.12,138.66,113545.7587
1167.09,1.357589204,2,5.29,24.77,46.91,136281.9799
550.0,2.612842375,2,4.73,14.51,4.7,144090.8028
1450.22,1.79038386,3,7.85,10.77,1.43,443320.3326
785.66,2.081815873,4,3.24,13.36,76.79,336760.6472
1817.51,2.396029739,2,3.42,18.16,25.04,239318.3161
550.0,2.09413931,4,3.71,21.65,69.51,319462.0467
1436.09,2.692111123,4,6.86,8.44,5.69,448149.3355
1600.28,1.0,3,6.53,3.35,86.67,353166.4
1232.61,1.738186651,3,3.86,17.33,18.37,227814.0832
613.54,3.565264748,4,6.63,16.07,1.94,481818.1188
965.04,1.058729792,3,4.96,4.53,74.8,136866.0138
1242.17,2.058247062,4,5.74,14.22,41.68,550091.5551
550.0,1.097832252,4,6.0,14.83,39.87,261716.701
550.0,1.103740204,3,2.79,18.41,5.52,94995.80949
707.65,2.453391282,3,7.82,9.3,56.74,264419.6829
550.0,2.107222655,2,1.73,27.59,63.64,105223.5852
